Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,319.5165,177017.8,98.34,3317.8,13.26
astar,true,456.2754,174304.6,96.84,3317.8,38.70
bfs,true,162.5104,177020.4,98.35,3317.8,10.55
dfs,true,51.6799,100974.2,56.10,3317.8,9.34
wallFollower,true,40.8725,161001.6,89.45,3317.8,10.95
dijkstra,false,327.0915,180007.5,97.68,2482,9.93
astar,false,518.4688,173974.9,94.40,2497.2,36.15
bfs,false,178.9598,180003.8,97.68,2482,12.02
dfs,false,54.2893,103728.2,56.29,5532,9.36
wallFollower,false,46.5585,170526.8,92.54,13607.4,9.72